NrZawodnika;NrChip;Klasyfikacja;Kategoria;Imie;Nazwisko;Plec;Wiek;DataUrodzenia;Panstwo;Miasto;NazwaKlubu;Telefon
1;1;5KM;M16-99;Ksawery;Szmagaj;M;38;1986-08-04;POL;Gorzów Wielkopolski;Sanok Running Team;887165413
2;2;5KM;M16-99;Szymon;Kocaj;M;75;1949-04-12;POL;Piekary Œl¹skie;Piaseczno Running Team;486082149
3;3;5KM;K16-99;Marianna;Trzop;K;17;2007-09-16;POL;Ostrów Mazowiecka;Toruñ Running Team;229639126
4;4;5KM;K16-99;Kalina;Lepianka;K;39;1985-01-28;POL;Rzeszów;Gorzów Wielkopolski Running Team;579974020
5;5;5KM;M16-99;Adam;Makles;M;43;1981-08-05;POL;M³awa;Pu³awy Running Team;483250260
6;6;5KM;M16-99;Alan;Bortkiewicz;M;51;1973-04-19;POL;Ruda Œl¹ska;Zawiercie Running Team;321942713
7;7;5KM;M16-99;Juliusz;Kazior;M;29;1994-10-05;POL;Gi¿ycko;Wo³omin Running Team;536107155
8;8;5KM;M16-99;Jerzy;Durma;M;98;1926-07-01;POL;Cieszyn;Nowy Targ Running Team;486674928
9;9;5KM;M16-99;Marek;Wydrych;M;39;1985-06-16;POL;Chojnice;Radom Running Team;788308339
10;10;5KM;M16-99;Ignacy;Lipowicz;M;48;1975-10-24;POL;Zgorzelec;Rzeszów Running Team;889960891
11;11;5KM;K16-99;Roksana;RzeŸniczak;K;85;1939-05-29;POL;Czerwionka-Leszczyny;Malbork Running Team;485156999
12;12;5KM;M16-99;Szymon;Cyganik;M;82;1942-08-31;POL;Wejherowo;Olsztyn Running Team;485007748
13;13;5KM;M16-99;Aleksander;Molka;M;28;1995-11-17;POL;Opole;Sochaczew Running Team;323678410
14;14;5KM;M16-99;Bruno;Pyziak;M;79;1945-04-27;POL;£owicz;Jaros³aw Running Team;487396639
15;15;5KM;K16-99;Urszula;Gonet;K;66;1957-10-01;POL;Zabrze;Kraków Running Team;486601602
16;16;5KM;M16-99;Tymoteusz;Misztela;M;94;1930-02-19;POL;Gdynia;Stalowa Wola Running Team;486060416
17;17;5KM;K16-99;Anna Maria;Ku³ach;K;66;1958-02-18;POL;Sieradz;£aziska Górne Running Team;789426140
18;18;5KM;K16-99;Anna Maria;Cyrek;K;43;1981-07-06;POL;Ruda Œl¹ska;Pruszcz Gdañski Running Team;485060917
19;19;5KM;M16-99;Micha³;Reæko;M;74;1950-04-07;POL;Bytom;£uków Running Team;483249128
20;20;5KM;K16-99;Angelika;Gaudyn;K;73;1951-09-08;POL;O³awa;Gliwice Running Team;487330914
21;21;5KM;K16-99;Melania;Tondera;K;88;1935-12-30;POL;Kêtrzyn;Krosno Running Team;486674805
22;22;5KM;M16-99;Olgierd;Pietryga;M;65;1959-09-06;POL;Olsztyn;Be³chatów Running Team;574187778
23;23;5KM;K16-99;Gaja;Jêdrak;K;16;2007-12-18;POL;P³ock;Pabianice Running Team;485026911
24;24;5KM;K16-99;Bianka;Sot;K;95;1928-10-08;POL;¯ywiec;P³ock Running Team;486636302
